"","ID_Catador","CODIGO_MUESTRA","Fragrance_aroma","Flavor","Aftertaste","Acidity","Body","Balance","Overall","Uniformity","Clean_cup","Sweetness","TOTAL_SCORE"
"1","No1","658049",7.5,7,7.5,7,7,7,7,10,10,10,80
"2","No2","658049",7.5,7,7,8,7,7.5,7,10,10,10,81
"3","No3","658049",8,7,7,6.75,7.5,7.5,7.25,10,10,10,81
"4","No4","658049",7,8.5,7,8.75,7,7,8,10,10,10,83.25
"5","No1","653024",6.5,6.75,6.75,7,6.75,7,7.25,10,10,10,78
"6","No2","653024",6.5,7,6.5,6.5,7,7,6.5,10,10,10,77
"7","No3","653024",6,6,6,7.5,7,7,6,10,10,10,75.5
"8","No4","653024",6.5,6.75,6.75,7,6.75,7,7.25,10,10,10,78
"9","No1","658145",7,8.5,7,8.5,7,7,8,10,10,10,83
"10","No2","658145",8,7.5,7.5,7.5,7.5,7.5,7,10,10,10,82.5
"11","No3","658145",8,7,7,8,7.5,7.5,7,8,8,8,76
"12","No4","658145",7.5,7.5,7.25,7.5,7,7.5,7.25,10,10,10,81.5
"13","No1","402052",7.5,7.5,7.75,7.5,8,8.25,7.5,10,10,10,84
"14","No2","402052",7,7.5,7.5,7.5,7.5,7.75,7.75,10,10,10,82.5
"15","No3","402052",8,7.5,7.5,7,7.5,7.25,7.5,10,10,10,82.25
"16","No4","402052",7.5,8,7.5,7,7.5,7.5,7.25,10,10,10,82.25
"17","No1","518207",8,7.75,7.5,7,8.5,7,7.5,10,10,10,83.25
"18","No2","518207",7.5,7.5,8,7.5,7.5,8,7.5,10,10,10,83.5
"19","No3","518207",7,6.75,6.5,6.75,7,7,6.75,10,10,10,77.75
"20","No4","518207",8,7.5,7.25,6.75,7,7.5,7.5,10,10,10,81.5
"21","No1","518308",7,8,8,8,7,8,8,10,10,10,84
"22","No2","518308",7,7,7,7,7,7,8,10,10,10,80
"23","No3","518308",7,7,7,7,7,7,7,10,10,10,79
"24","No4","518308",7.5,7.5,7.5,6.5,7.25,7.5,7.25,10,10,10,81
"25","No1","777098",7.5,7.5,7.5,7.5,7.5,8,7.5,10,10,10,83
"26","No2","777098",7,7,7,6.75,7,7,6.5,10,10,10,78.25
"27","No3","777098",7.5,8,7,8,7.5,7,7.5,10,10,10,82.5
"28","No4","777098",8,8,7.25,7.5,7,7.5,7.75,10,10,10,83
"29","No1","513056",8,7.5,7.5,7.5,8,7.5,7.5,10,10,10,83.5
"30","No2","513056",7.5,7.75,8,7,7,7.5,7.5,10,10,10,82.25
"31","No3","513056",8,6.75,6.75,7.5,7,7.25,6.75,10,10,10,80
"32","No4","513056",7.75,8,7,7.5,7,7.5,7.75,10,10,10,82.5
"33","No1","826611",7.5,7.5,7,8,7.5,8,7,10,10,10,82.5
"34","No2","826611",7,7,7,7,7,7,7,10,10,10,79
"35","No3","826611",7.5,7,7,7.5,7,7.25,7,10,10,10,80.25
"36","No4","826611",7.5,7.25,7,7,7.25,7.5,7.5,10,10,10,81
"37","No1","398017",7.75,7.75,7.5,7.75,7.5,7.75,8,10,10,10,84
"38","No1","394317",7.5,7.5,7.5,7,7.5,7,7.5,10,10,10,81.5
"39","No2","394317",8,7.5,7.5,8,7.5,7.75,8,10,10,10,84.25
"40","No3","394317",8,7.5,7.25,7.5,7.25,7.5,7.5,10,10,10,82.5
"41","No4","394317",7.5,7.5,7.5,7,7,8.5,8,10,10,10,83
"42","No1","394477",8,8,7.5,7.5,8,8.5,7.5,10,10,10,85
"43","No2","394477",7.5,8,8,8,8,8,8,10,10,10,85.5
"44","No3","394477",7.5,8,7.75,7.5,7.5,7.75,7.75,10,10,10,83.75
"45","No4","394477",7.5,8,7.5,7.5,7.5,7,8,10,10,10,83
"46","No1","833548",7.5,7.5,7.5,8,7,8,7.5,10,10,10,83
"47","No2","833548",7.5,7,7.5,7.5,7,8,8,10,10,10,82.5
"48","No3","833548",7,7,7,8,7.5,7.75,7,10,10,10,81.25
"49","No4","833548",7.5,7,7.25,7.5,7.25,7.5,7.25,10,10,10,81.25
"50","No1","148225",7.5,7.5,7.5,7.5,7.5,7.5,8,10,10,10,83
"51","No2","148225",8.5,7.5,7.75,7.5,7,7.25,8,10,10,10,83.5
"52","No3","148225",7.5,7.5,7.5,7,7.25,7.5,7.5,10,10,10,81.75
"53","No4","148225",7.5,7.5,7,7.5,7.5,8,7,10,10,10,82
"54","No1","718140",7.5,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,82.5
"55","No2","718140",8,7.5,7.75,8.5,7.75,8,7.75,10,10,10,85.25
"56","No3","718140",7.5,7.5,7.5,7,7,7.5,7.5,10,10,10,81.5
"57","No4","718140",7,8,7,7.5,7.5,7.5,8,10,10,10,82.5
"58","No1","518524",7,7,7,8,8,7.5,7.5,10,10,10,82
"59","No2","518524",6.75,6.75,6.75,7,7.5,7.25,6.75,10,10,10,78.75
"60","No3","518524",7,6.5,6.5,7,7,6.5,6.5,10,10,10,77
"61","No4","518524",8,6,6.5,7,7.25,7,6.5,10,10,10,78.25
"62","No1","402076",7.5,8,8,8,7.5,7.5,8,10,10,10,84.5
"63","No2","402076",7,7.5,7.5,7.5,7.5,7.5,8,10,10,10,82.5
"64","No3","402076",8,7,8,8,7,7.5,8,10,10,10,83.5
"65","No4","402076",7.5,8,7,7.5,7.75,8,7.5,10,10,10,83.25
"66","No1","718047",7,6.5,6.75,7,6.75,7,7,10,10,10,78
"67","No2","718047",7,7.5,7,7,7,7,7.5,10,10,10,80
"68","No3","718047",7.5,7.25,7.25,6.75,6.5,6.75,7,10,10,10,79
"69","No4","718047",7.5,7.75,7,8,7,7.5,7.5,10,10,10,82.25
"70","No1","258242",8,8,8,7.5,8,7.5,8,10,10,10,85
"71","No2","258242",7.5,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,82.5
"72","No3","258242",8,8,7.5,8,7.5,7.75,8,10,10,10,84.75
"73","No4","258242",7.5,7,7.5,8,7.75,7.75,7.75,10,10,10,83.25
"74","No1","148007",6.5,6.5,6.5,6.5,6.5,6.5,7,10,10,10,76
"75","No2","148007",7.5,6.5,6.5,6.5,6.5,6,7,10,10,10,76.5
"76","No3","148007",7.5,6.5,6.5,7,7,7,6.5,10,10,10,78
"77","No4","148007",6.5,6.5,7,7,7.5,7,6.5,10,10,10,78
"78","No1","394100",7,7.5,7,7,7,7.5,7,10,10,10,80
"79","No2","394100",8,7.5,7.5,7.5,7.5,7.5,7,10,10,10,82.5
"80","No3","394100",8,7.75,7.75,8,7,7.5,7.5,10,10,10,83.5
"81","No4","394100",7.5,7.5,7.5,7.5,7,8,8,10,10,10,83
"82","No1","777172",8,7,7,7,7,7,7,10,10,10,80
"83","No2","777172",7.5,7.5,7.5,7.5,7,8,8,10,10,10,83
"84","No3","777172",7,8,8,8,7.5,7.5,8,10,10,10,84
"85","No4","777172",7,7.5,7,7.5,7.5,7.5,7.5,10,10,10,81.5
"86","No1","823190",8,7.5,7.5,7,7.5,7.5,7,10,10,10,82
"87","No2","823190",8,7.5,7.5,8,7,7.5,8,10,10,10,83.5
"88","No3","823190",7.5,7,7,7,7,7,7,10,10,10,79.5
"89","No4","823190",8,8,7.5,7.5,7.5,7.5,8,10,10,10,84
"90","No1","871037",8,7.5,7,7.75,7.5,7.25,7,10,10,10,82
"91","No2","871037",7,7.5,7,7,7,7.5,7,10,10,10,80
"92","No3","871037",8,7,7,7.5,7,7.25,7,10,10,10,80.75
"93","No4","871037",8,8,7,7,7.5,7.5,7.5,10,10,10,82.5
"94","No1","862129",8,7.5,7,7,7,7,7.5,10,10,10,81
"95","No2","862129",7.5,7.5,7.5,7,7.5,7.5,7.5,10,10,10,82
"96","No3","862129",7.5,7.5,7.5,7.5,7.5,7.5,7.75,10,10,10,82.75
"97","No4","862129",8,7.5,7,7.5,7,8,7.5,10,10,10,82.5
"98","No1","394148",7.5,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,82.5
"99","No2","394148",8,8,8,8,7.5,7.75,8.25,10,10,10,85.5
"100","No3","394148",7,7.5,7,7,7,7,7,10,10,10,79.5
"101","No4","394148",7.75,8,7,7.5,7.5,8,8,10,10,10,83.75
